jcp2022_id,broad_sample
JCP2022_900001,BAD CONSTRUCT
JCP2022_900002,ccsbBroad304_00001
JCP2022_900003,ccsbBroad304_00002
JCP2022_900004,ccsbBroad304_00003
JCP2022_900005,ccsbBroad304_00007
JCP2022_900006,ccsbBroad304_00008
JCP2022_900007,ccsbBroad304_00009
JCP2022_900008,ccsbBroad304_00010
JCP2022_900009,ccsbBroad304_00011
JCP2022_900010,ccsbBroad304_00012
JCP2022_900011,ccsbBroad304_00013
JCP2022_900012,ccsbBroad304_00014
JCP2022_900013,ccsbBroad304_00015
JCP2022_900014,ccsbBroad304_00016
JCP2022_900015,ccsbBroad304_00017
JCP2022_900016,ccsbBroad304_00018
JCP2022_900017,ccsbBroad304_00019
JCP2022_900018,ccsbBroad304_00020
JCP2022_900019,ccsbBroad304_00021
JCP2022_900020,ccsbBroad304_00022
JCP2022_900021,ccsbBroad304_00023
JCP2022_900022,ccsbBroad304_00024
JCP2022_900023,ccsbBroad304_00025
JCP2022_900024,ccsbBroad304_00027
JCP2022_900025,ccsbBroad304_00028
JCP2022_900026,ccsbBroad304_00029
JCP2022_900027,ccsbBroad304_00030
JCP2022_900028,ccsbBroad304_00032
JCP2022_900029,ccsbBroad304_00033
JCP2022_900030,ccsbBroad304_00034
JCP2022_900031,ccsbBroad304_00035
JCP2022_900032,ccsbBroad304_00036
JCP2022_900033,ccsbBroad304_00037
JCP2022_900034,ccsbBroad304_00038
JCP2022_900035,ccsbBroad304_00040
JCP2022_900036,ccsbBroad304_00041
JCP2022_900037,ccsbBroad304_00043
JCP2022_900038,ccsbBroad304_00044
JCP2022_900039,ccsbBroad304_00045
JCP2022_900040,ccsbBroad304_00046
JCP2022_900041,ccsbBroad304_00047
JCP2022_900042,ccsbBroad304_00048
JCP2022_900043,ccsbBroad304_00049
JCP2022_900044,ccsbBroad304_00050
JCP2022_900045,ccsbBroad304_00051
JCP2022_900046,ccsbBroad304_00052
JCP2022_900047,ccsbBroad304_00053
JCP2022_900048,ccsbBroad304_00054
JCP2022_900049,ccsbBroad304_00055
JCP2022_900050,ccsbBroad304_00056
JCP2022_900051,ccsbBroad304_00057
JCP2022_900052,ccsbBroad304_00058
JCP2022_900053,ccsbBroad304_00059
JCP2022_900054,ccsbBroad304_00060
JCP2022_900055,ccsbBroad304_00061
JCP2022_900056,ccsbBroad304_00062
JCP2022_900057,ccsbBroad304_00063
JCP2022_900058,ccsbBroad304_00064
JCP2022_900059,ccsbBroad304_00065
JCP2022_900060,ccsbBroad304_00066
JCP2022_900061,ccsbBroad304_00067
JCP2022_900062,ccsbBroad304_00068
JCP2022_900063,ccsbBroad304_00069
JCP2022_900064,ccsbBroad304_00070
JCP2022_900065,ccsbBroad304_00071
JCP2022_900066,ccsbBroad304_00072
JCP2022_900067,ccsbBroad304_00073
JCP2022_900068,ccsbBroad304_00075
JCP2022_900069,ccsbBroad304_00076
JCP2022_900070,ccsbBroad304_00077
JCP2022_900071,ccsbBroad304_00078
JCP2022_900072,ccsbBroad304_00079
JCP2022_900073,ccsbBroad304_00080
JCP2022_900074,ccsbBroad304_00081
JCP2022_900075,ccsbBroad304_00082
JCP2022_900076,ccsbBroad304_00083
JCP2022_900077,ccsbBroad304_00084
JCP2022_900078,ccsbBroad304_00085
JCP2022_900079,ccsbBroad304_00086
JCP2022_900080,ccsbBroad304_00087
JCP2022_900081,ccsbBroad304_00088
JCP2022_900082,ccsbBroad304_00089
JCP2022_900083,ccsbBroad304_00090
JCP2022_900084,ccsbBroad304_00091
JCP2022_900085,ccsbBroad304_00092
JCP2022_900086,ccsbBroad304_00093
JCP2022_900087,ccsbBroad304_00094
JCP2022_900088,ccsbBroad304_00095
JCP2022_900089,ccsbBroad304_00096
JCP2022_900090,ccsbBroad304_00097
JCP2022_900091,ccsbBroad304_00098
JCP2022_900092,ccsbBroad304_00099
JCP2022_900093,ccsbBroad304_00100
JCP2022_900094,ccsbBroad304_00101
JCP2022_900095,ccsbBroad304_00102
JCP2022_900096,ccsbBroad304_00103
JCP2022_900097,ccsbBroad304_00104
JCP2022_900098,ccsbBroad304_00105
JCP2022_900099,ccsbBroad304_00106
JCP2022_900100,ccsbBroad304_00107
JCP2022_900101,ccsbBroad304_00108
JCP2022_900102,ccsbBroad304_00109
JCP2022_900103,ccsbBroad304_00110
JCP2022_900104,ccsbBroad304_00111
JCP2022_900105,ccsbBroad304_00112
JCP2022_900106,ccsbBroad304_00113
JCP2022_900107,ccsbBroad304_00115
JCP2022_900108,ccsbBroad304_00116
JCP2022_900109,ccsbBroad304_00117
JCP2022_900110,ccsbBroad304_00118
JCP2022_900111,ccsbBroad304_00119
JCP2022_900112,ccsbBroad304_00120
JCP2022_900113,ccsbBroad304_00121
JCP2022_900114,ccsbBroad304_00122
JCP2022_900115,ccsbBroad304_00123
JCP2022_900116,ccsbBroad304_00124
JCP2022_900117,ccsbBroad304_00125
JCP2022_900118,ccsbBroad304_00126
JCP2022_900119,ccsbBroad304_00127
JCP2022_900120,ccsbBroad304_00129
JCP2022_900121,ccsbBroad304_00130
JCP2022_900122,ccsbBroad304_00131
JCP2022_900123,ccsbBroad304_00132
JCP2022_900124,ccsbBroad304_00133
JCP2022_900125,ccsbBroad304_00134
JCP2022_900126,ccsbBroad304_00135
JCP2022_900127,ccsbBroad304_00136
JCP2022_900128,ccsbBroad304_00137
JCP2022_900129,ccsbBroad304_00138
JCP2022_900130,ccsbBroad304_00139
JCP2022_900131,ccsbBroad304_00140
JCP2022_900132,ccsbBroad304_00141
JCP2022_900133,ccsbBroad304_00142
JCP2022_900134,ccsbBroad304_00143
JCP2022_900135,ccsbBroad304_00144
JCP2022_900136,ccsbBroad304_00145
JCP2022_900137,ccsbBroad304_00146
JCP2022_900138,ccsbBroad304_00147
JCP2022_900139,ccsbBroad304_00148
JCP2022_900140,ccsbBroad304_00150
JCP2022_900141,ccsbBroad304_00151
JCP2022_900142,ccsbBroad304_00152
JCP2022_900143,ccsbBroad304_00153
JCP2022_900144,ccsbBroad304_00154
JCP2022_900145,ccsbBroad304_00155
JCP2022_900146,ccsbBroad304_00156
JCP2022_900147,ccsbBroad304_00157
JCP2022_900148,ccsbBroad304_00158
JCP2022_900149,ccsbBroad304_00159
JCP2022_900150,ccsbBroad304_00160
JCP2022_900151,ccsbBroad304_00161
JCP2022_900152,ccsbBroad304_00162
JCP2022_900153,ccsbBroad304_00163
JCP2022_900154,ccsbBroad304_00164
JCP2022_900155,ccsbBroad304_00165
JCP2022_900156,ccsbBroad304_00166
JCP2022_900157,ccsbBroad304_00168
JCP2022_900158,ccsbBroad304_00169
JCP2022_900159,ccsbBroad304_00170
JCP2022_900160,ccsbBroad304_00171
JCP2022_900161,ccsbBroad304_00172
JCP2022_900162,ccsbBroad304_00173
JCP2022_900163,ccsbBroad304_00175
JCP2022_900164,ccsbBroad304_00176
JCP2022_900165,ccsbBroad304_00177
JCP2022_900166,ccsbBroad304_00178
JCP2022_900167,ccsbBroad304_00179
JCP2022_900168,ccsbBroad304_00180
JCP2022_900169,ccsbBroad304_00181
JCP2022_900170,ccsbBroad304_00182
JCP2022_900171,ccsbBroad304_00183
JCP2022_900172,ccsbBroad304_00185
JCP2022_900173,ccsbBroad304_00186
JCP2022_900174,ccsbBroad304_00187
JCP2022_900175,ccsbBroad304_00188
JCP2022_900176,ccsbBroad304_00189
JCP2022_900177,ccsbBroad304_00190
JCP2022_900178,ccsbBroad304_00191
JCP2022_900179,ccsbBroad304_00192
JCP2022_900180,ccsbBroad304_00194
JCP2022_900181,ccsbBroad304_00195
JCP2022_900182,ccsbBroad304_00196
JCP2022_900183,ccsbBroad304_00197
JCP2022_900184,ccsbBroad304_00198
JCP2022_900185,ccsbBroad304_00199
JCP2022_900186,ccsbBroad304_00200
JCP2022_900187,ccsbBroad304_00201
JCP2022_900188,ccsbBroad304_00202
JCP2022_900189,ccsbBroad304_00203
JCP2022_900190,ccsbBroad304_00204
