jcp2022_id,broad_sample
JCP2022_810001,BRDN0000562836
JCP2022_810002,BRDN0000562882
JCP2022_810003,BRDN0000562944
JCP2022_810004,BRDN0000563501
JCP2022_810005,BRDN0000563627
JCP2022_810006,BRDN0000563722
JCP2022_810007,BRDN0000563764
JCP2022_810008,BRDN0000564018
JCP2022_810009,BRDN0000579732
JCP2022_810010,BRDN0000579738
JCP2022_810011,BRDN0000579759
JCP2022_810012,BRDN0000579780
JCP2022_810013,BRDN0000580015
JCP2022_810014,BRDN0000580246
JCP2022_810015,BRDN0000581508
JCP2022_810016,BRDN0000582721
JCP2022_810017,BRDN0000582784
JCP2022_810018,BRDN0000585461
JCP2022_810019,BRDN0000585854
JCP2022_810020,BRDN0000732963
JCP2022_810021,BRDN0000732970
JCP2022_810022,BRDN0000733096
JCP2022_810023,BRDN0000733514
JCP2022_810024,BRDN0000734459
JCP2022_810025,BRDN0000734502
JCP2022_810026,BRDN0000734703
JCP2022_810027,BRDN0000735603
JCP2022_810028,BRDN0000735610
JCP2022_810029,BRDN0000987760
JCP2022_810030,BRDN0000990355
JCP2022_810031,BRDN0000990412
JCP2022_810032,BRDN0001052307
JCP2022_810033,BRDN0001053816
JCP2022_810034,BRDN0001054037
JCP2022_810035,BRDN0001054361
JCP2022_810036,BRDN0001054403
JCP2022_810037,BRDN0001054801
JCP2022_810038,BRDN0001054815
JCP2022_810039,BRDN0001054845
JCP2022_810040,BRDN0001054985
JCP2022_810041,BRDN0001056840
JCP2022_810042,BRDN0001057455
JCP2022_810043,BRDN0001057535
JCP2022_810044,BRDN0001058011
JCP2022_810045,BRDN0001058343
JCP2022_810046,BRDN0001061130
JCP2022_810047,BRDN0001061132
JCP2022_810048,BRDN0001065000
JCP2022_810049,BRDN0001065152
JCP2022_810050,BRDN0001065162
JCP2022_810051,BRDN0001065187
JCP2022_810052,BRDN0001065244
JCP2022_810053,BRDN0001065257
JCP2022_810054,BRDN0001065258
JCP2022_810055,BRDN0001065457
JCP2022_810056,BRDN0001065508
JCP2022_810057,BRDN0001065558
JCP2022_810058,BRDN0001065674
JCP2022_810059,BRDN0001065728
JCP2022_810060,BRDN0001065819
JCP2022_810061,BRDN0001065841
JCP2022_810062,BRDN0001065858
JCP2022_810063,BRDN0001066064
JCP2022_810064,BRDN0001066250
JCP2022_810065,BRDN0001066751
JCP2022_810066,BRDN0001066838
JCP2022_810067,BRDN0001144750
JCP2022_810068,BRDN0001144938
JCP2022_810069,BRDN0001144958
JCP2022_810070,BRDN0001144968
JCP2022_810071,BRDN0001144990
JCP2022_810072,BRDN0001144995
JCP2022_810073,BRDN0001145239
JCP2022_810074,BRDN0001145303
JCP2022_810075,BRDN0001145318
JCP2022_810076,BRDN0001145324
JCP2022_810077,BRDN0001145503
