batch,platemap,O23,O24,P23,P24
Batch1,OAA09.10.11.12.A,,,,
Batch1,OAA05.06.07.08.A,,,,
Batch1,OAA01.02.03.04.A,,,,
Batch1,OAB84.85.86.87.A,,,,
Batch2,OAA97.98.99.XX.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch2,OAA13.14.15.16.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch2,OAA21.22.23.24.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch2,OAA29.30.31.32.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch3,OAB25.26.27.28.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch3,OAA33.34.35.36.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch3,OAA37.38.39.40.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K89517477-001-03-9,BRD-K59632282-052-03-1
Batch3,OAA41.42.43.OAB45.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch4,OAB41.OAC17.OAB78.79.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch4,OAA45.46.47.OAB46.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch4,OAA50.51.52.53.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch4,OAA54.55.56.57.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch5,OAA49.59.79.80.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch5,OAA63.64.65.66.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch5,OAA67.68.69.70.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch5,OAA71.72.73.74.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch6,OKA05.06.07.08.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch6,OAA89.90.91.92.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch6,OAB01.02.03.04.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch7,OAA58.60.61.62.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch7,OAB05.06.07.08.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch7,OAB09.10.11.12.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch7,OAB17.18.19.20.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch8,OAA85.86.87.88.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch8,OAB21.22.23.24.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch8,OAB29.30.31.32.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch8,OAB44.OAA18.19.20.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch9,OAB13.14.15.16.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch9,OAB49.OAA94.95.96.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch9,OAB74.75.76.47.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch9,OAB88.89.90.91.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch10,OAB33.34.35.36.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch10,OAB92.93.94.95.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch10,OAB96.97.98.99.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch10,OAC01.02.03.04.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch11,OAB37.38.39.40.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch11,OAC05.06.07.08.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch11,OAC09.10.11.12.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch11,OAC18.OAB81.82.83.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch12,OKA01.02.03.04.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
Batch12,OAA81.82.83.84.A,BRD-K21728777-001-02-3,BRD-K47557313-001-03-9,BRD-K59632282-052-03-1,BRD-K89517477-001-03-9
