jcp2022_id,broad_sample
JCP2022_800001,no-guide
JCP2022_800002,non-targeting
JCP2022_800003,A2M_2
JCP2022_800004,A3GALT2_127550
JCP2022_800005,A4GALT_53947
JCP2022_800006,A4GNT_51146
JCP2022_800007,AACS_65985
JCP2022_800008,AADAC_13
JCP2022_800009,AADAT_51166
JCP2022_800010,AAK1_22848
JCP2022_800011,AANAT_15
JCP2022_800012,AARS_16
JCP2022_800013,AARSD1_80755
JCP2022_800014,AASDH_132949
JCP2022_800015,AASDHPPT_60496
JCP2022_800016,AASS_10157
JCP2022_800017,AATF_26574
JCP2022_800018,AATK_9625
JCP2022_800019,ABAT_18
JCP2022_800020,ABCA1_19
JCP2022_800021,ABCA10_10349
JCP2022_800022,ABCA12_26154
JCP2022_800023,ABCA13_154664
JCP2022_800024,ABCA2_20
JCP2022_800025,ABCA3_21
JCP2022_800026,ABCA5_23461
JCP2022_800027,ABCA6_23460
JCP2022_800028,ABCA7_10347
JCP2022_800029,ABCA8_10351
JCP2022_800030,ABCA9_10350
JCP2022_800031,ABCB1_5243
JCP2022_800032,ABCB10_23456
JCP2022_800033,ABCB11_8647
JCP2022_800034,ABCB4_5244
JCP2022_800035,ABCB5_340273
JCP2022_800036,ABCB6_10058
JCP2022_800037,ABCB7_22
JCP2022_800038,ABCB8_11194
JCP2022_800039,ABCB9_23457
JCP2022_800040,ABCC1_4363
JCP2022_800041,ABCC10_89845
JCP2022_800042,ABCC11_85320
JCP2022_800043,ABCC12_94160
JCP2022_800044,ABCC2_1244
JCP2022_800045,ABCC3_8714
JCP2022_800046,ABCC4_10257
JCP2022_800047,ABCC5_10057
JCP2022_800048,ABCC6_368
JCP2022_800049,ABCC8_6833
JCP2022_800050,ABCD1_215
JCP2022_800051,ABCD2_225
JCP2022_800052,ABCD3_5825
JCP2022_800053,ABCD4_5826
JCP2022_800054,ABCE1_6059
JCP2022_800055,ABCF1_23
JCP2022_800056,ABCF2_10061
JCP2022_800057,ABCF3_55324
JCP2022_800058,ABCG1_9619
JCP2022_800059,ABCG2_9429
JCP2022_800060,ABCG4_64137
JCP2022_800061,ABCG5_64240
JCP2022_800062,ABCG8_64241
JCP2022_800063,ABHD1_84696
JCP2022_800064,ABHD10_55347
JCP2022_800065,ABHD11_83451
JCP2022_800066,ABHD12_26090
JCP2022_800067,ABHD12B_145447
JCP2022_800068,ABHD13_84945
JCP2022_800069,ABHD14A_25864
JCP2022_800070,ABHD14B_84836
JCP2022_800071,ABHD16A_7920
JCP2022_800072,ABHD16B_140701
JCP2022_800073,ABHD17A_81926
JCP2022_800074,ABHD17B_51104
JCP2022_800075,ABHD17C_58489
JCP2022_800076,ABHD2_11057
JCP2022_800077,ABHD3_171586
JCP2022_800078,ABHD4_63874
JCP2022_800079,ABHD5_51099
JCP2022_800080,ABHD6_57406
JCP2022_800081,ABHD8_79575
JCP2022_800082,ABL1_25
JCP2022_800083,ABL2_27
JCP2022_800084,ABO_28
JCP2022_800085,ABT1_29777
JCP2022_800086,ABTB1_80325
